chromosome,position,stringtie_id,remove_st,DTS_checked,WRF_checked,spliced_in_intron,isoseq_hq_id,pinfish_id,isoseq_singleton_id,manual,NCBItxome,PleuroTranscripts,augustus,gene_name,interesting,comment,Timestamp
c1,284659,,,y,,y,,,PBsin.17.65,,,,,,,,
c1,284904,,,y,,y,,,PBsin.16.1,,,,,,,,
c1,293311,B1_LR.23,,y,,,,,,,,,,,,,
c1,294992,,,y,,,,55295a8d-b50d-487f-a308-988b3fde6b79,,,,,,,,,
c1,294992,B1_LR.24,y,y,,,,,,,,,,,,,
c1,304856,,,,y,,PB.20.2,,,,,,,,,,
c1,309535,,,y,y,,"PB.20.4, PB.20.5, PB.20.6",,,,,,,,,,
c1,312859,,,y,,,PB.21,,,,,,,,,,
c1,312859,B1_LR.25,y,y,,,,,,,,,,,,,
c1,320643,,,y,,,,f123cf1a-dcfa-499d-b195-8fa09dfec12c,,,,,,,,,
c1,329379,,,y,,,PB.22,,,,,,,,,,
c1,335807,,,y,,y,,,PBsin.21,,,,,,,,
c1,353014,,,y,,,,,PBsin.22.1,,,,,,,,
c1,360749,B1_LR.26,,y,,y,,,,,,,,,,,
c1,400195,,,y,,y,,,PBsin.23.1,,,,,,,,
c1,400195,B1_LR.27,y,y,,,,,,,,,,,,,
c1,409560,,,y,,,,,PBsin.25.1,,,,,,,,
c1,414930,,,y,,,,,PBsin.26,,,,,,,,
c1,425743,,,y,,,,6e85a803-fa7e-4736-9b87-0e922d2e4b29,,,,,,,,,
c1,432855,,,y,,y,,,PBsin.27.1,,,,,,,,
c1,437708,,,y,,y,,,PBsin.28.1,,,,,,,,
c1,443180,,,y,,,,,,,,scaffold05185_gene_8720Gainesville,,,,,08/21/2020
c1,444830,,,y,,y,,,PBsin.28.2,,,,,,,,
c1,451488,B1_LR.28,,y,,,,,,,,,,,,,
c1,454913,B1_LR.29,,y,,,,,,,,,,,,,
c1,464143,,,y,,,,,PBsin.31.1,,,,,,,,
c1,473627,B1_LR.30,,y,,,,,,,,,,,,,
c1,479318,,,y,,,,7499af7b-8cd3-4d62-950f-9ffd4ace8a62,,,,,,,,,
c1,511592,,,y,,,,872b1153-f4f7-4618-8050-ad25f5693ccf,,,,,,,,,
c1,511592,B1_LR.31,y,y,,,,,,,,,,,,,
c1,529220,,,y,,,PB.28,,,,,,,,,,
c1,539973,,,y,,,,,,,GHXS01039321.1,,,,,,08/21/2020
c1,551026,B1_LR.32,,y,,,,,,,,,,,,,
c1,553388,,,y,,,,,PBsin.34.1,,,,,,,,
c1,568599,,,y,,y,,d8af8fd5-9a37-49ee-8cd1-9e96534858cb,,,,,,,,,
c1,574182,B1_LR.33,,y,,,,,,,,,,,,,
c1,593240,,,y,,,PB.30.1,,PBsin.37.3,,,,g147.t1,,,,05/01/2020 04:53
c1,613424,,,y,,y,,,PBsin.38.1,,,,,,,,
c1,618783,B1_LR.34,,y,,,,,,,,,,,,,
c1,625989,B1_LR.35,,y,,,,,,,,,,,,,
c1,645969,,,y,,,,47619ec4-f555-4f36-ac90-7c50d942897d,,,,,,,,,
c1,649413,B1_LR.36,,y,,y,,,,,,,,,,REVERSE STRAND,
c1,654864,B1_LR.37,,y,,y,,,,,,,,,,REVERSE STRAND,
c1,663438,B1_LR.38,,y,,,,,,,,,,,,,
c1,665220,B1_LR.39,,y,,y,,,,,,,,,,,
c1,685793,B1_LR.40,,y,,y,,,,,,,,,,,
c1,694344,B1_LR.41,,y,,y,,,,,,,,,,,
c1,694344,B1_LR.42,y,y,,y,,,,,,,,,,,
c1,698482,,,y,,,PB.34.1,,,,,,,,,,
c1,703724,B1_LR.43,,y,,y,,,,,,,,,,,
c1,719785,,,y,,,,d9d63587-6204-4494-bae9-1c60e100c267,,,,,,,,,
c1,721896,B1_LR.44,,y,,,,,,,,,,,,,
c1,729938,,,y,,,PB.36,,,,,,,,,,
c1,730288,B1_LR.45,,y,,,,,,,,,,,,REVERSE STRAND,
c1,738530,,,y,,,,,,,,scaffold42_1_size140712_gene_414Barcelona,,,,,08/21/2020
c1,739958,,,y,,,,,,,GHXS01097764.1,,,,,,08/21/2020
c1,753353,B1_LR.46,,y,,y,,,,,,,,,,FORWARD STRAND,
c1,756397,B1_LR.47,,y,,,,,,,,,,,,,
c1,759694,B1_LR.48,,y,,,,,,,,,,,,,
c1,772360,B1_LR.49,,y,,,,,,,,,,,,,
c1,781182,,,,y,,,d03412c6-8b1c-4e91-afd2-6a7a6c617ffe,,,,,,,,,
c1,784789,B1_LR.50,y,y,y,,"PB.41.27, PB.41.30",,,,,,,,,,
c1,790513,,,y,,,,,,,GHXS01100218.1,,,,,,08/21/2020
c1,815567,B1_LR.51,,y,,y,,,,,,,,,,,
c1,815567,B1_LR.52,y,y,,,,,,,,,,,,,
c1,817664,,,y,,y,PB.41.46,,,,,,,,,,
c1,829362,,,y,,y,,,PBsin.53.88,,,,,,,,
c1,829362,B1_LR.53,y,y,,,,,,,,,,,,,
c1,832991,,,y,,y,PB.41.55,,,,,,,,y,shares a common first exon with other genes in this area,
c1,843064,B1_LR.54,,y,,y,,,,,,,,,,,
c1,843064,B1_LR.55,y,y,,,,,,,,,,,,,
c1,853990,,,y,,,,,,,GHXS01099930.1,,,,,,08/21/2020
c1,857864,,,,y,,PB.41.57,,,,,,,,,,
c1,863125,B1_LR.55.1,,y,,y,,,,,,,,,y,shares a start exon with other genes,
c1,867966,"B1_LR.55.2, B1_LR.55.3",,y,,y,,,,,,,,,y,shares a start exon with other genes,
c1,873728,B1_LR.56,,y,,y,,,,,,,,,,FORWARD STRAND,
c1,881581,,,y,,y,PB.41.75,,,,,,,,y,shares a start exon with other genes,
c1,890470,B1_LR.57,,y,,y,,,,,,,,,,,
c1,890470,B1_LR.58,y,y,,,,,,,,,,,,,
c1,901565,"B1_LR.59, B1_LR.58",,y,,,PB.43.3,,PBsin.55.9,,,,,,y,,
c1,907675,,,y,,,,,,,,scaffold01176_gene_2065Gainesville,,,,,08/21/2020
c1,911687,B1_LR.60,,y,,,,,,,,,,,,,
c1,912969,B1_LR.61,,y,,,,,,,,,,,,,
c1,916800,B1_LR.62,,y,,,,,,,,,,,,,
c1,920910,B1_LR.63,,y,,,,,,,,,,,,,
c1,933055,B1_LR.64,,y,,,,,PBsin.58.1,,,,,,,,
c1,936493,B1_LR.65,,y,,,,,,,,,,,,,
c1,938189,B1_LR.66,,y,,,,,,,,,,,,,
c1,950750,B1_LR.67,,y,,,,,,,,,,,,,
c1,955862,B1_LR.68,,y,,,,,,,,,,,,,
c1,961413,B1_LR.69,y,y,y,,PB.54.1,,,,,,,,,,
c1,966165,,,,y,,PB.55.1,,,,,,,,,,
c1,970298,B1_LR.70,,y,,,,,,,,,,,,,
c1,975926,B1_LR.71,,y,,,,,,,,,,,,,
c1,977863,B1_LR.72,,y,,,,,,,,,,,,,
c1,980138,B1_LR.73,,y,,,,,,,,,,,,FORWARD STRAND,
c1,983672,B1_LR.74,,y,,,,,,,,,,,,,
c1,986253,,,y,,,,,PBsin.69.1,,,,,,,,
c1,987982,B1_LR.75,,y,,,,,,,,,,,,,
c1,994432,B1_LR.76,,y,,,,,,,,,,,,FORWARD STRAND,
c1,998536,,,y,,,,,,,,scaffold2866_1_size11662_gene_18385Barcelona,,,,,08/21/2020
c1,1000139,B1_LR.77,,y,,,,,,,,,,,,,
c1,1008338,,,y,,y,,568d5fd0-2f31-4ae9-a9ef-f29acb95dc31,,,,,,,,,
c1,1019440,,,y,,y,,,PBsin.74.1,,,,,,,,
c1,1025857,B1_LR.78,,y,,,,,,,,,,,,,
c1,1025857,B1_LR.79,y,y,,,,,,,,,,,,,
c1,1035271,,,y,,,PB.65.1,,,,,,,,,,
c1,1041179,B1_LR.80,,y,,,,,,,,,,,,,
c1,1042567,,,y,,,,,,,,scaffold2446_1_size13795_gene_16762Barcelona,,,,,08/21/2020
c1,1044225,B1_LR.81,,y,,y,,,,,,,,,,,
c1,1050322,B1_LR.82,,y,,,,,,,,,,,,,
c1,1055956,,,y,,y,PB.67.1,,,,,,,,,,
c1,1058506,B1_LR.83,,y,,,,,,,,,,,,,
c1,1066538,B1_LR.84,,y,,,,,,,,,,,,,
c1,1070133,B1_LR.85,,y,,,,,,,,,,,,REVERSE STRAND,
c1,1072080,,,y,,,PB.70.11,,,,,,,,,,
c1,1073924,B1_LR.86,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1076625,,,,y,,PB.72.1,,,,,,,,fused,,
c1,1077690,B1_LR.87,y,y,y,,PB.72.2,,,,,,,,fusion,,
c1,1085154,B1_LR.88,,y,,,,,,,,,,,,,
c1,1089022,B1_LR.89,,y,,,,,,,,,,,,,
c1,1090925,B1_LR.90,,y,,,,,,,,,,,,,
c1,1094276,B1_LR.91,,y,,,,,,,,,,,,,
c1,1097972,B1_LR.92,,y,,,,,,,,,,,,,
c1,1105706,B1_LR.93,,y,,,,,,,,,,,,,
c1,1111264,B1_LR.94,,y,,,,,,,,,,,,,
c1,1115601,B1_LR.95,,y,,,,,,,,,,,,,
c1,1123801,B1_LR.96,,y,,,,,,,,,,,,,
c1,1129894,B1_LR.97,,y,,,,,,,,,,,,,
c1,1142249,,,y,,,,,,,,scaffold702_1_size40548_gene_6813Barcelona,,,,,08/21/2020
c1,1142873,B1_LR.98,,y,,,,,,,,,,,,,
c1,1144906,B1_LR.99,,y,,,,,,,,,,,,,
c1,1150941,B1_LR.100,,y,,,,,,,,,,,,,
c1,1150941,B1_LR.101,y,y,,,,,,,,,,,,,
c1,1158438,,,y,,,PB.86.1,,,,,,,,,,
c1,1159657,B1_LR.102,,y,,,,,,,,,,,,,
c1,1161787,,,y,,,,,,,GHXS01006342.1,,,,,,08/21/2020
c1,1167305,,,y,,,,,,,GHXS01012317.1,,,,,,08/21/2020
c1,1171604,B1_LR.103,,y,,,,,,,,,,,,REVERSE STRAND,
c1,1173188,B1_LR.104,,y,,,,,,,,,,,,,
c1,1175882,B1_LR.105,,y,,,,,,,,,,,,,
c1,1182478,B1_LR.106,,y,,,,,,,,,,,,,
c1,1186867,B1_LR.107,,y,,,,,,,,,,,,,
c1,1189242,B1_LR.108,,y,,,,,,,,,,,,,
c1,1193224,B1_LR.109,,y,,,,,,,,,,,,,
c1,1198952,,,y,,,,95c17482-b7b4-4ce1-bc53-f5e37163453d,,,,,,,,,
c1,1216133,B1_LR.110.1,,,y,,,,,,,,,Similar to dystonin,,fused,
c1,1218658,,,y,,y,,785120e4-0f32-41e7-bba8-314c0bbec0eb,,,,,,,,,
c1,1218658,B1_LR.110,y,y,y,,,,,,,,,,,fusion,
c1,1235697,B1_LR.111,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1251616,,,,y,,PB.94.6,,,,,,,Similar to Filamin,,locus is still wrong,
c1,1260073,,,y,,,,,,,,C4338868_gene_24487Marineland,,,,,08/21/2020
c1,1280559,B1_LR.112,,y,,y,,,,,,,,,,,
c1,1297067,B1_LR.113,,y,,,,,,,,,,,,,
c1,1305226,B1_LR.114,,y,,,,,,,,,,,,,
c1,1309061,B1_LR.115,,y,,,,,,,,,,,,,
c1,1314168,,,y,,,,,PBsin.101.284,,,,,,,,
c1,1314487,B1_LR.116,,y,,,,,,,,,,,,,
c1,1320270,,,y,,,,,,,GHXS01052219.1,,,,,,08/21/2020
c1,1322019,,,y,,,,,,,,scaffold743_1_size38875_gene_7256Barcelona,,,,,08/21/2020
c1,1330440,B1_LR.117,,y,,,,,,,,,,,,,
c1,1340013,B1_LR.118,,y,,,,,,,,,,,,,
c1,1343419,,,y,,,,,,,,scaffold832_1_size35574_gene_7922Barcelona,,,,,08/21/2020
c1,1344065,,,y,,,,,,,,scaffold832_1_size35574_gene_7923Barcelona,,,,,08/21/2020
c1,1363957,,,y,,,,e349261d-9ca8-4b3f-850b-cfebf9f83557,,,,,,,,,
c1,1365071,B1_LR.119,,y,,,,,,,,,,,,,
c1,1368277,,,y,,,,,PBsin.105.1,,,,,,,,
c1,1368672,B1_LR.120,,y,,,,,,,,,,,,,
c1,1377853,B1_LR.121,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1382710,,,y,,,,857e2be9-c58a-4bd3-b8a9-9d7199671f7d,,,,,,,,,
c1,1387604,B1_LR.122,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1391482,B1_LR.123,,y,,,,,,,,,,,,,
c1,1401650,,,y,,,PB.101,,,,,,,,,,
c1,1405170,,,y,,,,ec8c17e6-5b1f-486a-b44a-583a0d5328e7,,,,,,,,,
c1,1411511,B1_LR.124,,y,,,,,,,,,,,,,
c1,1413493,B1_LR.125,,y,,,,,,,,,,,,,
c1,1419052,,,y,,,,,,,GHXS01007236.1,,,,,,08/13/2020 16:08
c1,1419937,B1_LR.126,,y,,,,,,,,,,,,,
c1,1422085,B1_LR.127,,y,,,,,,,,,,,,,
c1,1433701,B1_LR.128,,y,,,,,,,,,,,,,
c1,1441203,B1_LR.129,,y,,y,,,,,,,,,,FORWARD STRAND,
c1,1448198,B1_LR.130,,y,,,,,,,,,,,,,
c1,1451860,B1_LR.131,,y,,,,,,,,,,,,,
c1,1461428,B1_LR.132,,y,,,,,,,,,,,,,
c1,1465722,B1_LR.133,,y,,y,,,,,,,,,,,
c1,1480192,B1_LR.134,,y,,,,,,,,,,,,,
c1,1482114,B1_LR.135,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1484441,B1_LR.136,,y,,,,,,,,,,,,,
c1,1484441,B1_LR.137,y,y,,,,,,,,,,,,,
c1,1492283,,,y,,,PB.114,,,,,,,,,,
c1,1494296,,,y,,,PB.115,,,,,,,,,,
c1,1497447,,,y,,,PB.116,,,,,,,,,,
c1,1500870,B1_LR.138,,y,,,,,,,,,,,,REVERSE STRAND,
c1,1504695,B1_LR.139,,y,,,,,,,,,,,,,
c1,1504695,B1_LR.140,y,y,y,,,,,,,,,,,REVERSE STRAND,
c1,1509651,B1_LR.141,y,y,,,,,PBsin.121.15,,,,,,,,
c1,1514058,B1_LR.142,,y,,,,,,,,,,,,REVERSE STRAND,
c1,1519080,B1_LR.143,,y,,,,,,,,,,,,,
c1,1527926,B1_LR.144,,y,,,,,,,,,,,,,
c1,1530839,B1_LR.145,,y,,,,,,,,,,,,REVERSE STRAND,
c1,1532135,B1_LR.146,,y,,,,,,,,,,,,,
c1,1544131,B1_LR.147,,y,,,,,,,,,,,,,
c1,1552958,B1_LR.148,,y,,,,,,,,,,,,,
c1,1557942,B1_LR.149,,y,,,,,,,,,,,,,
c1,1561593,,,y,,,PB.128.1,,,,,,,,,,
c1,1562553,B1_LR.150,,y,,,,,,,,,,,,,
c1,1570631,B1_LR.151,,y,,,,,,,,,,,,,
c1,1581361,B1_LR.152,,y,,,,,PBsin.130.3,,,,,,,,
c1,1594892,B1_LR.153,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1594892,B1_LR.172,,y,,y,PB.132.5,,,,,,,,,,
c1,1597645,B1_LR.154,,y,,,,,,,,,,,,,
c1,1599496,B1_LR.155,,y,,,,,,,,,,,,,
c1,1600274,B1_LR.156,,y,,,PB.133.3,,,,,,,,,,
c1,1605201,B1_LR.157,,y,,,,,,,,,,,,,
c1,1607377,B1_LR.158,,y,,,"PB.135.1, PB.135.2",,,,,,,,,,
c1,1610971,B1_LR.159,,y,,y,,,,,,,,,,FORWARD STRAND,
c1,1617414,B1_LR.160,,y,,y,,,,,,,,,,,
c1,1620091,B1_LR.161,,y,,y,,,,,,,,,,,
c1,1621758,,,y,,,,,,,GHXS01031300.1,,,,,,08/21/2020
c1,1627252,B1_LR.162,,y,,y,,,,,,,,,,,
c1,1629450,,,y,,,,,,,GHXS01047312.1,,,,,,08/21/2020
c1,1630457,B1_LR.163,,y,,y,,,,,,,,,,,
c1,1636369,B1_LR.164,,y,,y,,,,,,,,,,,
c1,1638929,,,y,,,,,,,GHXS01026649.1,,,,,,08/21/2020
c1,1640615,B1_LR.165,,y,,y,,,,,,,,,,,
c1,1645390,B1_LR.166,,y,,y,,,,,,,,,,REVERSE STRAND,
c1,1649236,B1_LR.167,,y,,y,,,,,,,,,,,
c1,1657378,B1_LR.168,,y,,y,,,,,,,,,,,
c1,1666757,,,y,,,,,,,GHXS01048968.1,,,,,,08/21/2020
c1,1675121,B1_LR.169,,y,,y,,,,,,,,,,,
c1,1685957,B1_LR.170,,y,,y,,,,,,,,,,,
c1,1693897,,,y,,,,,,,,scaffold520_1_size48721_gene_5236Barcelona,,,,,08/21/2020
c1,1703347,B1_LR.171,,y,,y,,,,,,,,,,,
c1,1719649,,,y,,y,PB.135.33,,,,,,,,,,
c1,1728967,B1_LR.173,,y,,y,,,,,,,,,,,
c1,1742551,,,y,,,,,,,GHXS01030078.1,,,,,,08/21/2020
c1,1750016,B1_LR.174,,y,,,,,,,,,,,,,
c1,1753366,B1_LR.175,,y,,,,,,,,,,Similar to inactive sulfatase maturation factor SUMF2,,,05/12/2020 13:25
c1,1763707,B1_LR.176,,y,,,,,,,,,,,,,
c1,1773311,B1_LR.177,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1774232,B1_LR.178,,y,,,,,,,,,,,,,
c1,1778623,,,y,,,,,,,GHXS01105457.1,,,,,,08/21/2020
c1,1779849,B1_LR.179,,y,,,,,,,,,,,,,
c1,1785126,,,y,,,,,PBsin.141.1,,,,,,,,
c1,1786271,B1_LR.180,,y,,,"PB.142.3, PB.142.4",,,,,,,,,,
c1,1804064,"B1_LR.181, B1_LR.182",,y,,,,,PBsin.143.3,,,,,,,,
c1,1804064,B1_LR.182,y,y,,,,,,,,,,,,,
c1,1808434,,,y,,,,,,,,scaffold759_1_size38297_gene_7273Barcelona,,,,,08/21/2020
c1,1812177,B1_LR.183,,y,,,,,PBsin.144.5,,,,,,,,
c1,1818587,B1_LR.184,,y,,,PB.146.1,,PBsin.145.2,,,,,,,,
c1,1830306,B1_LR.186,,y,,,,,PBsin.146.1,,,,,,,,
c1,1831826,B1_LR.185,,y,,,,,,,,,,,,,
c1,1840192,B1_LR.187,,y,,,PB.149,,,,,,,,,,
c1,1843720,B1_LR.188,,y,,,PB.150,,,,,,,,,,
c1,1852863,B1_LR.189,,y,,,PB.151,,,,,,,,,,
c1,1857837,B1_LR.190,,y,,,,,,,,,,,,FORWARD STRAND,
c1,1861682,B1_LR.191,,y,,,,,,,,,,,,,
c1,1864218,B1_LR.192,,y,,,,,,,,,,,,,
c1,1865337,B1_LR.193,,y,,,,,,,,,,,,,
c1,1867889,B1_LR.194,,y,,,,,,,,,,,,,
c1,1872043,B1_LR.195,,y,,,PB.156,,,,,,,,,,
c1,1873758,B1_LR.196,,y,,,,,,,,,,,,,
c1,1877020,B1_LR.197,,y,,,,,,,,,,,,REVERSE STRAND,
c1,1879776,B1_LR.198,,y,,,,,,,,,,,,,
c1,1884757,,,y,,,,,,,,scaffold1416_1_size23016_gene_11842Barcelona,,,,,08/21/2020
c1,1886865,B1_LR.199,,y,,,,,,,,,,,,,
c1,1889547,,,y,,,,9206ebb9-f327-49a9-8596-f954af4e701f,,,,,,,,,
c1,1895893,B1_LR.200,,y,,,,,,,,,,,,,
c1,1898094,B1_LR.201,,y,,,PB.162,,,,,,,,,,
c1,1899724,B1_LR.202,,y,,y,,,PBsin.149.1,,,,,,,,
c1,1899884,,,y,,,,,"PBsin.145.37, PBsin.145.38",,,,,,,,
c1,1911997,B1_LR.203,,y,,,,,,,,,,,,,
c1,1918107,B1_LR.204,,y,,,,,,,,,,,,,
c1,1931408,B1_LR.205,,y,,,PB.166,,,,,,,,,,
c1,1937903,B1_LR.206,,y,,,PB.167.1,,,,,,,,,,
c1,1942101,B1_LR.207,,y,,,,,,,,,,,,,
c1,1944205,B1_LR.208,,y,,,PB.169,,,,,,,,,,
c1,1948699,B1_LR.209,,y,,,PB.170,,,,,,,,,,
c1,1967198,B1_LR.210,,y,,,PB.171,,,,,,,,,,
c1,1983132,,,y,,,,,,,GHXS01111398.1,,,,,,08/21/2020
c1,1987937,B1_LR.211,,y,,,,,,,,,,,,REVERSE STRAND,
c1,2000252,B1_LR.212,,y,,,,,,,,,,,,,
c1,2006051,,,y,,,,,,,,scaffold2868_1_size11657_gene_18393Barcelona,,,,,08/21/2020
c1,2019200,B1_LR.213,,y,,,,,,,,,,,,,
c1,2020801,B1_LR.214,,y,,y,,,,,,,,,,,
c1,2032910,B1_LR.215,,y,,,,,,,,,,,,,
c1,2037203,,,y,,,,,,,,scaffold316_1_size62937_gene_3339Barcelona,,,,,08/21/2020
c1,2039313,B1_LR.216,,y,,,,,PBsin.160,,,,,,,,
c1,2048147,B1_LR.217,,y,,,,,,,,,,,,,
c1,2054770,B1_LR.218,,y,,y,,,,,,,,,,,
c1,2067449,B1_LR.219,,y,,,,,,,,,,,,FORWARD STRAND,
c1,2070226,B1_LR.220,,y,,,,,,,,,,,,,
c1,2074491,,,y,,y,,32b53cbd-02b8-4604-ac10-a4f774f2a7ee,,,,,,,,,
c1,2080351,B1_LR.221,,y,,,,,PBsin.166.9,,,,,,,,
c1,2086807,,,y,,,,,,,GHXS01019470.1,,,,,,08/21/2020
c1,2098078,B1_LR.222,,y,,,,,,,,,,,,,
c1,2100338,B1_LR.223,y,y,,,,79165f00-d9bb-4a36-9bed-c51b856c21de,PBsin.167.1,,,,,,,FORWARD STRAND,
c1,2106264,B1_LR.224,,y,,,,,,,,,,,,,
c1,2112393,B1_LR.225,,y,,,,,,,,,,,,,
c1,2120797,,,y,,,,,,,,scaffold1300_1_size24889_gene_11101Barcelona,,,,,08/21/2020
c1,2121396,B1_LR.226,,y,,,,,,,,,,,,,
c1,2123659,B1_LR.227,,y,,,PB.186,,,,,,,,,,
c1,2131707,B1_LR.228,,y,,y,,,,,,,,,,,
c1,2143087,,,y,,y,,44217f0a-c13e-4f4d-a351-f001aa0bd6ca,,,,,,,,,
c1,2145427,B1_LR.229,,y,,,,,,,,,,,,,
c1,2147804,B1_LR.230,,y,,,,,,,,,,,,,
c1,2152580,B1_LR.231,,y,,,,,,,,,,,,FORWARD STRAND,
c1,2153421,B1_LR.232,,y,,,PB.190.3,,,,,,,,,,
c1,2168377,B1_LR.233,,y,,,,,,,,,,,,,
c1,2169431,,,y,,,,,,,GHXS01044695.1,,,,,,08/21/2020
c1,2170744,B1_LR.234,,y,,y,,,PBsin.178.2,,,,,,,,
c1,2178289,B1_LR.235,,y,,,,,,,,,,,,,
c1,2186663,,,y,,,,,,,,scaffold541_1_size47384_gene_5513Barcelona,,,,,08/21/2020
c1,2199445,B1_LR.236,,y,,y,,,,,,,,,,,
c1,2203312,B1_LR.237,,y,,y,,,,,,,,,,,
c1,2206084,B1_LR.238,,y,,y,,,,,,,,,,,
c1,2233310,B1_LR.239,,y,,,,,,,,,,,,,
c1,2236150,B1_LR.240,,y,,,,,,,,,,,,,
c1,2241275,B1_LR.241,,y,,,,,,,,,,,,,
c1,2243162,,,y,,,PB.198.4,,,,,,,,,,
c1,2245808,B1_LR.242,,y,,,,,,,,,,,,,
c1,2248886,B1_LR.243,,y,,,,,,,,,,,,,
c1,2251811,,,y,,,,,PBsin.186.7,,,,,,,,
c1,2259974,B1_LR.244,,y,,,,,,,,,,,,,
c1,2269417,,,y,,,,,,,GHXS01087278.1,,,,,,08/21/2020
c1,2270942,,,y,,,,,,,GHXS01087137.1,,,,,,08/21/2020
c1,2285657,B1_LR.245,,y,,,,,,,,,,,,,
c1,2288121,B1_LR.246,,y,,,,,,,,,,,,,
c1,2290800,B1_LR.247,,y,,y,,,,,,,,,,,
c1,2296152,B1_LR.248,,y,,,,,,,,,,,,FORWARD STRAND,
c1,2299207,B1_LR.249,,y,,,,,PBsin.188.9,,,,,,,,
c1,2299207,B1_LR.250,y,y,,,,,,,,,,,,,
c1,2311183,,,y,,,PB.208,,,,,,,,,,
c1,2314814,,,y,,,PB.209,,,,,,,,,,
c1,2317415,B1_LR.251,,y,,,,,,,,,,,,REVERSE STRAND,
c1,2319024,B1_LR.252,,y,,,,,,,,,,,,REVERSE STRAND,
c1,2320858,,,y,,,PB.211.3,,,,,,,,,,
c1,2322663,B1_LR.253,,y,,,,,,,,,,,,REVERSE STRAND,
c1,2323392,B1_LR.254,,y,,,,,,,,,,,,,
c1,2323431,,,y,,,,,PBsin.195.70,,,,,,,,
