# <don't delete this hash char. this is a comment line.,,,,,ANNOTATIONS HERE - Each column corresponds to one file on github,,,,,,,,,
chromosome,stringtie_id,remove_st,DTS_checked,WRF_checked,spliced_in_intron,isoseq_hq_id,pinfish_id,isoseq_singleton_id,manual,augustus,gene_name,interesting,comment,Timestamp
c1,B1_LR.15,y,yes,y,,PB.14.1,,,,,,,,
c1,,,yes,y,,"PB.14.3, PB.14.6",,,,,,,,04/29/2020 12:50
c1,B1_LR.16,,yes,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.17,,yes,,,,,PBsin.17.11,,,,,REVERSE STRAND,
c1,B1_LR.18,,yes,,,,,,,,,,REVERSE STRAND,
c1,,,yes,,,,0f627f55-4223-4f3c-9914-655bd8575cad,,,,,,,
c1,,,y,,,,,PBsin.13.1,,,,,,
c1,,,y,,,,,PBsin.14.1,,,,,,
c1,,,y,,,,f5a776a9-0433-4ecc-95e1-dff4bc7d3052,,,,,,,
c1,B1_LR.19,,y,,,,,,,,,,,
c1,B1_LR.20,,y,,,,,,,,,,,
c1,B1_LR.21,,y,,,,,,,,,,,
c1,,,y,,y,,,PBsin.17.63,,,,,,
c1,,,y,,y,,,PBsin.16.1,,,,,,
c1,,,y,,y,,,PBsin.17.65,,,,,,
c1,B1_LR.22,,y,,,,,,,,,,,
c1,B1_LR.23,,y,,,,,,,,,,,
c1,,,y,,,,55295a8d-b50d-487f-a308-988b3fde6b79,,,,,,,
c1,B1_LR.24,y,y,,,,,,,,,,,
c1,,,,y,,PB.20.2,,,,,,,,
c1,,,y,y,,"PB.20.4, PB.20.5, PB.20.6",,,,,,,,
c1,,,y,,,,f123cf1a-dcfa-499d-b195-8fa09dfec12c,,,,,,,
c1,,,y,,,PB.21,,,,,,,,
c1,B1_LR.25,y,y,,,,,,,,,,,
c1,,,y,,,PB.22,,,,,,,,
c1,,,y,,y,,,PBsin.21,,,,,,
c1,,,y,,,,,PBsin.22.1,,,,,,
c1,B1_LR.26,,y,,y,,,,,,,,,
c1,,,y,,y,,,PBsin.23.1,,,,,,
c1,B1_LR.27,y,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.25.1,,,,,,
c1,,,y,,,,,PBsin.26,,,,,,
c1,,,y,,,,6e85a803-fa7e-4736-9b87-0e922d2e4b29,,,,,,,
c1,,,y,,y,,,PBsin.27.1,,,,,,
c1,,,y,,y,,,PBsin.28.1,,,,,,
c1,,,y,,y,,,PBsin.28.2,,,,,,
c1,B1_LR.28,,y,,,,,,,,,,,
c1,B1_LR.29,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.31.1,,,,,,
c1,B1_LR.30,,y,,,,,,,,,,,
c1,,,y,,,,7499af7b-8cd3-4d62-950f-9ffd4ace8a62,,,,,,,
c1,,,y,,,,872b1153-f4f7-4618-8050-ad25f5693ccf,,,,,,,
c1,B1_LR.31,y,y,,,,,,,,,,,
c1,,,y,,,PB.28,,,,,,,,
c1,B1_LR.32,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.34.1,,,,,,
c1,,,y,,y,,d8af8fd5-9a37-49ee-8cd1-9e96534858cb,,,,,,,
c1,B1_LR.33,,y,,,,,,,,,,,
c1,,,y,,,PB.30.1,,PBsin.37.3,,g147.t1,,,,05/01/2020 04:53
c1,,,y,,y,,,PBsin.38.1,,,,,,
c1,B1_LR.34,,y,,,,,,,,,,,
c1,B1_LR.35,,y,,,,,,,,,,,
c1,,,y,,,,47619ec4-f555-4f36-ac90-7c50d942897d,,,,,,,
c1,B1_LR.36,,y,,y,,,,,,,,REVERSE STRAND,
c1,B1_LR.37,,y,,y,,,,,,,,REVERSE STRAND,
c1,B1_LR.38,,y,,,,,,,,,,,
c1,B1_LR.39,,y,,y,,,,,,,,,
c1,B1_LR.40,,y,,y,,,,,,,,,
c1,B1_LR.41,,y,,y,,,,,,,,,
c1,B1_LR.42,y,y,,y,,,,,,,,,
c1,,,y,,,PB.34.1,,,,,,,,
c1,B1_LR.43,,y,,y,,,,,,,,,
c1,,,y,,,,d9d63587-6204-4494-bae9-1c60e100c267,,,,,,,
c1,B1_LR.44,,y,,,,,,,,,,,
c1,,,y,,,PB.36,,,,,,,,
c1,B1_LR.45,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.46,,y,,y,,,,,,,,FORWARD STRAND,
c1,B1_LR.47,,y,,,,,,,,,,,
c1,B1_LR.48,,y,,,,,,,,,,,
c1,B1_LR.49,,y,,,,,,,,,,,
c1,B1_LR.50,y,y,y,,"PB.41.27, PB.41.30",,,,,,,,
c1,,,,y,,,d03412c6-8b1c-4e91-afd2-6a7a6c617ffe,,,,,,,
c1,B1_LR.51,,y,,y,,,,,,,,,
c1,B1_LR.52,y,y,,,,,,,,,,,
c1,,,y,,y,PB.41.46,,,,,,,,
c1,,,y,,y,,,PBsin.53.88,,,,,,
c1,B1_LR.53,y,y,,,,,,,,,,,
c1,,,y,,y,PB.41.55,,,,,,y,shares a common first exon with other genes in this area,
c1,B1_LR.54,,y,,y,,,,,,,,,
c1,B1_LR.55,y,y,,,,,,,,,,,
c1,B1_LR.55.1,,y,,y,,,,,,,y,shares a start exon with other genes,
c1,"B1_LR.55.2, B1_LR.55.3",,y,,y,,,,,,,y,shares a start exon with other genes,
c1,,,,y,,PB.41.57,,,,,,,,
c1,B1_LR.56,,y,,y,,,,,,,,FORWARD STRAND,
c1,,,y,,y,PB.41.75,,,,,,y,shares a start exon with other genes,
c1,B1_LR.57,,y,,y,,,,,,,,,
c1,B1_LR.58,y,y,,,,,,,,,,,
c1,"B1_LR.59, B1_LR.58",,y,,,PB.43.3,,PBsin.55.9,,,,y,,
c1,B1_LR.60,,y,,,,,,,,,,,
c1,B1_LR.61,,y,,,,,,,,,,,
c1,B1_LR.62,,y,,,,,,,,,,,
c1,B1_LR.63,,y,,,,,,,,,,,
c1,B1_LR.64,,y,,,,,PBsin.58.1,,,,,,
c1,B1_LR.65,,y,,,,,,,,,,,
c1,B1_LR.66,,y,,,,,,,,,,,
c1,B1_LR.67,,y,,,,,,,,,,,
c1,B1_LR.68,,y,,,,,,,,,,,
c1,B1_LR.69,y,y,y,,PB.54.1,,,,,,,,
c1,,,,y,,PB.55.1,,,,,,,,
c1,B1_LR.70,,y,,,,,,,,,,,
c1,B1_LR.71,,y,,,,,,,,,,,
c1,B1_LR.72,,y,,,,,,,,,,,
c1,B1_LR.73,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.74,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.69.1,,,,,,
c1,B1_LR.75,,y,,,,,,,,,,,
c1,B1_LR.76,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.77,,y,,,,,,,,,,,
c1,,,y,,y,,568d5fd0-2f31-4ae9-a9ef-f29acb95dc31,,,,,,,
c1,,,y,,y,,,PBsin.74.1,,,,,,
c1,B1_LR.78,,y,,,,,,,,,,,
c1,B1_LR.79,y,y,,,,,,,,,,,
c1,,,y,,,PB.65.1,,,,,,,,
c1,B1_LR.80,,y,,,,,,,,,,,
c1,B1_LR.81,,y,,y,,,,,,,,,
c1,B1_LR.82,,y,,,,,,,,,,,
c1,,,y,,y,PB.67.1,,,,,,,,
c1,B1_LR.83,,y,,,,,,,,,,,
c1,B1_LR.84,,y,,,,,,,,,,,
c1,B1_LR.85,,y,,,,,,,,,,REVERSE STRAND,
c1,,,y,,,PB.70.11,,,,,,,,
c1,B1_LR.86,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.87,y,y,y,,PB.72.2,,,,,,fusion,,
c1,,,,y,,PB.72.1,,,,,,fused,,
c1,B1_LR.88,,y,,,,,,,,,,,
c1,B1_LR.89,,y,,,,,,,,,,,
c1,B1_LR.90,,y,,,,,,,,,,,
c1,B1_LR.91,,y,,,,,,,,,,,
c1,B1_LR.92,,y,,,,,,,,,,,
c1,B1_LR.93,,y,,,,,,,,,,,
c1,B1_LR.94,,y,,,,,,,,,,,
c1,B1_LR.95,,y,,,,,,,,,,,
c1,B1_LR.96,,y,,,,,,,,,,,
c1,B1_LR.97,,y,,,,,,,,,,,
c1,B1_LR.98,,y,,,,,,,,,,,
c1,B1_LR.99,,y,,,,,,,,,,,
c1,B1_LR.100,,y,,,,,,,,,,,
c1,B1_LR.101,y,y,,,,,,,,,,,
c1,,,y,,,PB.86.1,,,,,,,,
c1,B1_LR.102,,y,,,,,,,,,,,
c1,B1_LR.103,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.104,,y,,,,,,,,,,,
c1,B1_LR.105,,y,,,,,,,,,,,
c1,B1_LR.106,,y,,,,,,,,,,,
c1,B1_LR.107,,y,,,,,,,,,,,
c1,B1_LR.108,,y,,,,,,,,,,,
c1,B1_LR.109,,y,,,,,,,,,,,
c1,,,y,,,,95c17482-b7b4-4ce1-bc53-f5e37163453d,,,,,,,
c1,,,y,,,,,PBsin.105.1,,,,,,
c1,,,y,,y,,785120e4-0f32-41e7-bba8-314c0bbec0eb,,,,,,,
c1,B1_LR.110,y,y,y,,,,,,,,,fusion,
c1,B1_LR.110.1,,,y,,,,,,,Similar to dystonin,,fused,
c1,,,,y,,PB.94.6,,,,,Similar to Filamin,,locus is still wrong,
c1,B1_LR.111,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.112,,y,,y,,,,,,,,,
c1,B1_LR.113,,y,,,,,,,,,,,
c1,B1_LR.114,,y,,,,,,,,,,,
c1,B1_LR.115,,y,,,,,,,,,,,
c1,B1_LR.116,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.101.284,,,,,,
c1,B1_LR.117,,y,,,,,,,,,,,
c1,B1_LR.118,,y,,,,,,,,,,,
c1,,,y,,,,e349261d-9ca8-4b3f-850b-cfebf9f83557,,,,,,,
c1,B1_LR.119,,y,,,,,,,,,,,
c1,B1_LR.120,,y,,,,,,,,,,,
c1,B1_LR.121,,y,,,,,,,,,,FORWARD STRAND,
c1,,,y,,,,857e2be9-c58a-4bd3-b8a9-9d7199671f7d,,,,,,,
c1,B1_LR.122,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.123,,y,,,,,,,,,,,
c1,,,y,,,PB.101,,,,,,,,
c1,,,y,,,,ec8c17e6-5b1f-486a-b44a-583a0d5328e7,,,,,,,
c1,B1_LR.124,,y,,,,,,,,,,,
c1,B1_LR.125,,y,,,,,,,,,,,
c1,B1_LR.126,,y,,,,,,,,,,,
c1,B1_LR.127,,y,,,,,,,,,,,
c1,B1_LR.128,,y,,,,,,,,,,,
c1,B1_LR.129,,y,,y,,,,,,,,FORWARD STRAND,
c1,B1_LR.130,,y,,,,,,,,,,,
c1,B1_LR.131,,y,,,,,,,,,,,
c1,B1_LR.132,,y,,,,,,,,,,,
c1,B1_LR.133,,y,,y,,,,,,,,,
c1,B1_LR.134,,y,,,,,,,,,,,
c1,B1_LR.135,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.136,,y,,,,,,,,,,,
c1,B1_LR.137,y,y,,,,,,,,,,,
c1,,,y,,,PB.114,,,,,,,,
c1,,,y,,,PB.115,,,,,,,,
c1,,,y,,,PB.116,,,,,,,,
c1,B1_LR.138,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.139,,y,,,,,,,,,,,
c1,B1_LR.140,y,y,y,,,,,,,,,REVERSE STRAND,
c1,B1_LR.141,y,y,,,,,PBsin.121.15,,,,,,
c1,B1_LR.142,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.143,,y,,,,,,,,,,,
c1,B1_LR.144,,y,,,,,,,,,,,
c1,B1_LR.145,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.146,,y,,,,,,,,,,,
c1,B1_LR.147,,y,,,,,,,,,,,
c1,B1_LR.148,,y,,,,,,,,,,,
c1,,,y,,,PB.128.1,,,,,,,,
c1,B1_LR.149,,y,,,,,,,,,,,
c1,B1_LR.150,,y,,,,,,,,,,,
c1,B1_LR.151,,y,,,,,,,,,,,
c1,B1_LR.152,,y,,,,,PBsin.130.3,,,,,,
c1,B1_LR.153,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.154,,y,,,,,,,,,,,
c1,B1_LR.155,,y,,,,,,,,,,,
c1,B1_LR.156,,y,,,PB.133.3,,,,,,,,
c1,B1_LR.157,,y,,,,,,,,,,,
c1,B1_LR.158,,y,,,"PB.135.1, PB.135.2",,,,,,,,
c1,B1_LR.159,,y,,y,,,,,,,,FORWARD STRAND,
c1,B1_LR.160,,y,,y,,,,,,,,,
c1,B1_LR.161,,y,,y,,,,,,,,,
c1,B1_LR.162,,y,,y,,,,,,,,,
c1,B1_LR.163,,y,,y,,,,,,,,,
c1,B1_LR.164,,y,,y,,,,,,,,,
c1,B1_LR.165,,y,,y,,,,,,,,,
c1,B1_LR.166,,y,,y,,,,,,,,REVERSE STRAND,
c1,B1_LR.167,,y,,y,,,,,,,,,
c1,B1_LR.168,,y,,y,,,,,,,,,
c1,B1_LR.169,,y,,y,,,,,,,,,
c1,B1_LR.170,,y,,y,,,,,,,,,
c1,,,y,,y,PB.135.33,,,,,,,,
c1,B1_LR.171,,y,,y,,,,,,,,,
c1,B1_LR.172,,y,,y,PB.132.5,,,,,,,,
c1,B1_LR.173,,y,,y,,,,,,,,,
c1,B1_LR.174,,y,,,,,,,,,,,
c1,B1_LR.175,,y,,,,,,,,Similar to inactive sulfatase maturation factor SUMF2,,,05/12/2020 13:25
c1,B1_LR.176,,y,,,,,,,,,,,
c1,B1_LR.177,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.178,,y,,,,,,,,,,,
c1,B1_LR.179,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.141.1,,,,,,
c1,B1_LR.180,,y,,,"PB.142.3, PB.142.4",,,,,,,,
c1,"B1_LR.181, B1_LR.182",,y,,,,,PBsin.143.3,,,,,,
c1,B1_LR.182,y,y,,,,,,,,,,,
c1,B1_LR.183,,y,,,,,PBsin.144.5,,,,,,
c1,B1_LR.184,,y,,,PB.146.1,,PBsin.145.2,,,,,,
c1,B1_LR.185,,y,,,,,,,,,,,
c1,B1_LR.186,,y,,,,,PBsin.146.1,,,,,,
c1,B1_LR.187,,y,,,PB.149,,,,,,,,
c1,B1_LR.188,,y,,,PB.150,,,,,,,,
c1,B1_LR.189,,y,,,PB.151,,,,,,,,
c1,B1_LR.190,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.191,,y,,,,,,,,,,,
c1,B1_LR.192,,y,,,,,,,,,,,
c1,B1_LR.193,,y,,,,,,,,,,,
c1,B1_LR.194,,y,,,,,,,,,,,
c1,B1_LR.195,,y,,,PB.156,,,,,,,,
c1,B1_LR.196,,y,,,,,,,,,,,
c1,B1_LR.197,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.198,,y,,,,,,,,,,,
c1,B1_LR.199,,y,,,,,,,,,,,
c1,,,y,,,,9206ebb9-f327-49a9-8596-f954af4e701f,,,,,,,
c1,B1_LR.200,,y,,,,,,,,,,,
c1,B1_LR.201,,y,,,PB.162,,,,,,,,
c1,B1_LR.202,,y,,y,,,PBsin.149.1,,,,,,
c1,,,y,,,,,"PBsin.145.37, PBsin.145.38",,,,,,
c1,B1_LR.203,,y,,,,,,,,,,,
c1,B1_LR.204,,y,,,,,,,,,,,
c1,B1_LR.205,,y,,,PB.166,,,,,,,,
c1,B1_LR.206,,y,,,PB.167.1,,,,,,,,
c1,B1_LR.207,,y,,,,,,,,,,,
c1,B1_LR.208,,y,,,PB.169,,,,,,,,
c1,B1_LR.209,,y,,,PB.170,,,,,,,,
c1,B1_LR.210,,y,,,PB.171,,,,,,,,
c1,B1_LR.211,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.212,,y,,,,,,,,,,,
c1,B1_LR.213,,y,,,,,,,,,,,
c1,B1_LR.214,,y,,y,,,,,,,,,
c1,B1_LR.215,,y,,,,,,,,,,,
c1,B1_LR.216,,y,,,,,PBsin.160,,,,,,
c1,B1_LR.217,,y,,,,,,,,,,,
c1,B1_LR.218,,y,,y,,,,,,,,,
c1,B1_LR.219,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.220,,y,,,,,,,,,,,
c1,,,y,,y,,32b53cbd-02b8-4604-ac10-a4f774f2a7ee,,,,,,,
c1,B1_LR.221,,y,,,,,PBsin.166.9,,,,,,
c1,B1_LR.222,,y,,,,,,,,,,,
c1,B1_LR.223,y,y,,,,79165f00-d9bb-4a36-9bed-c51b856c21de,PBsin.167.1,,,,,FORWARD STRAND,
c1,B1_LR.224,,y,,,,,,,,,,,
c1,B1_LR.225,,y,,,,,,,,,,,
c1,B1_LR.226,,y,,,,,,,,,,,
c1,B1_LR.227,,y,,,PB.186,,,,,,,,
c1,,,y,,y,,44217f0a-c13e-4f4d-a351-f001aa0bd6ca,,,,,,,
c1,B1_LR.228,,y,,y,,,,,,,,,
c1,B1_LR.229,,y,,,,,,,,,,,
c1,B1_LR.230,,y,,,,,,,,,,,
c1,B1_LR.231,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.232,,y,,,PB.190.3,,,,,,,,
c1,B1_LR.233,,y,,,,,,,,,,,
c1,B1_LR.234,,y,,y,,,PBsin.178.2,,,,,,
c1,B1_LR.235,,y,,,,,,,,,,,
c1,B1_LR.236,,y,,y,,,,,,,,,
c1,B1_LR.237,,y,,y,,,,,,,,,
c1,B1_LR.238,,y,,y,,,,,,,,,
c1,B1_LR.239,,y,,,,,,,,,,,
c1,B1_LR.240,,y,,,,,,,,,,,
c1,B1_LR.241,,y,,,,,,,,,,,
c1,,,y,,,PB.198.4,,,,,,,,
c1,B1_LR.242,,y,,,,,,,,,,,
c1,B1_LR.243,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.186.7,,,,,,
c1,B1_LR.244,,y,,,,,,,,,,,
c1,B1_LR.245,,y,,,,,,,,,,,
c1,B1_LR.246,,y,,,,,,,,,,,
c1,B1_LR.247,,y,,y,,,,,,,,,
c1,B1_LR.248,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.249,,y,,,,,PBsin.188.9,,,,,,
c1,B1_LR.250,y,y,,,,,,,,,,,
c1,,,y,,,PB.208,,,,,,,,
c1,,,y,,,PB.209,,,,,,,,
c1,B1_LR.251,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.252,,y,,,,,,,,,,REVERSE STRAND,
c1,,,y,,,PB.211.3,,,,,,,,
c1,B1_LR.253,,y,,,,,,,,,,REVERSE STRAND,
c1,,,y,,,,,PBsin.195.70,,,,,,
c1,B1_LR.254,,y,,,,,,,,,,,
c1,B1_LR.255,,y,,y,,,,,,,,,
c1,B1_LR.256,,y,,y,,,,,,,,FORWARD STRAND,
c1,B1_LR.257,,y,,,,,PBsin.189.13,,,,,,
c1,,,,y,,PB.215.8,,,,,,,missing,
c1,B1_LR.258,,y,,,,,,,,Kynurenine aminotransferase group 2,,,
c1,B1_LR.259,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.195.84,,,,,,
c1,B1_LR.260,,y,,,,,,,,,,,
c1,B1_LR.261,,y,,,,,,,,,,,
c1,B1_LR.262,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.263,,y,,,,,,,,,,,
c1,B1_LR.264,,y,,,,,,,,,,,
c1,B1_LR.265,,y,,,PB.223,,,,,,,,
c1,B1_LR.266,,y,,,,,PBsin.195.87,,,,,,
c1,,,y,,,,4093d453-221b-4ddb-833c-42a78b418ee4,,,,,,mm,
c1,B1_LR.267,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.194.40,,,,,,
c1,B1_LR.268,,y,,,,,,,,,,,
c1,B1_LR.269,y,y,,,,,,,,,,,
c1,B1_LR.270,,y,,,,,,,,,,,
c1,B1_LR.271,,y,,y,,,,,,,,,
c1,B1_LR.272,,y,,y,,,,,,,,,
c1,B1_LR.273,,y,,y,,,,,,,,,
c1,B1_LR.274,,y,,y,,,,,,,,,
c1,B1_LR.275,,y,,y,,,,,,,,,
c1,B1_LR.276,,y,,y,,,,,,,,,
c1,,,y,,,PB.233.6,,,,,,,,05/18/2020 13:27
c1,,,,y,sense,,a2422e6f-5a5d-4fc9-a9de-376a8ff7ca2f,,,,,,,05/18/2020 13:27
c1,B1_LR.277,,y,y,,,,,,,,,,05/18/2020 13:24
c1,B1_LR.278,,y,y,,,,,,,,,,05/18/2020 13:23
c1,B1_LR.279,,y,,,,,,,,,,FORWARD STRAND,
c1,,,y,,y,,,PBsin.202.1,,,,,,
c1,,,y,,y,,,PBsin.204.1,,,,,,
c1,B1_LR.280,,y,,,,,,,,,,,
c1,B1_LR.281,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.282,y,y,,,,,,,,,,,
c1,,,y,,,PB.238,,,,,,,,
c1,B1_LR.283,y,y,,,,,,,,,,,
c1,B1_LR.284,,y,,,,,,,,,,,
c1,B1_LR.285,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.210.1,,,,,,
c1,B1_LR.286,,y,,,,,,,,,,,
c1,B1_LR.287,,y,,,,,,,,,,,
c1,B1_LR.288,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.289,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.212.1,,,,,,
c1,B1_LR.290,,y,,,,,,,,,,,
c1,,,y,,,,"59675b78-7c02-42d6-a16f-3a8c5d637b93, baaadce0-4b08-4b0f-8b1a-3e4819182b1d",PBsin.213.5,,,,,,
c1,B1_LR.291,,y,,,,,,,,,,,
c1,B1_LR.292,,y,,,,,PBsin.216.2,,,,,,
c1,,,y,,,,,PBsin.217.1,,,,,,
c1,,,y,,,,,PBsin.218.1,,,,,,
c1,B1_LR.293,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.294,,y,,,,,,,,,,,
c1,,,y,,,,a23d31f7-2308-465e-a9ba-38a26c91c53c,,,,,,,
c1,B1_LR.295,,y,,,,,,,,,,,
c1,B1_LR.296,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.297,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.298,,y,,,,,,,,,,,
c1,B1_LR.299,,y,,,,,,,,,,,
c1,B1_LR.300,y,y,,,,,,,,,,,
c1,,,y,,,PB.253,,,,,,,,
c1,,,y,,,,,PBsin.266.1,,,,,,
c1,,,y,,y,,1fa53f4f-d76d-4c7a-85eb-6d3b52606eb1,,,,,,,
c1,,,y,,,,60041c8d-c2c9-4355-bc23-640eda43675a,,,,,,,
c1,B1_LR.301,,y,,,PB.232,,,,,,,,
c1,"B1_LR.302, B1_LR.303",,y,,,,,PBsin.227,,,,,,
c1,B1_LR.303,y,y,,,,,,,,,,,
c1,B1_LR.304,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.305,,y,,y,,,,,,,,,
c1,,,y,,,,,PBsin.257,,,,,,
c1,B1_LR.306,,y,,y,,,,,,,,,
c1,B1_LR.307,,y,,y,,,,,,,,,
c1,B1_LR.308,,y,,y,,,,,,,,,
c1,B1_LR.309,,y,,y,,,,,,,,,
c1,B1_LR.310,,y,,y,,,,,,AB hydrolase family,,,
c1,,,y,,,,,PBsin.233.1,,,,,,
c1,B1_LR.311,,y,,y,,,,,,,,REVERSE STRAND,
c1,B1_LR.312,,y,,,,,,,,,,,
c1,B1_LR.313,,y,,,PB.261,,,,,,,,
c1,B1_LR.314,,y,,,PB.263,,,,,,,,
c1,,,y,,,,,PBsin.236.1,,,,,,
c1,,,y,,,,e9ef4d18-14e8-4379-832b-f9aa1f31381d,,,,,,,
c1,B1_LR.315,,y,,,,,,,,,,,
c1,B1_LR.316,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.317,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.318,,y,,,,,,,,,,,
c1,B1_LR.319,,y,,,,,,,,,,,
c1,B1_LR.320,,y,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.321,,y,,,PB.268,,,,,,,,
c1,,,y,,y,,,PBsin.243,,,,,,
c1,B1_LR.322,y,y,,,,,,,,,,,
c1,B1_LR.323,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.324,,y,,,PB.270,,,,,,,,
c1,B1_LR.325,y,y,,,,,,,,,,,
c1,B1_LR.326,,y,,,,,,,,,,,
c1,B1_LR.327,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.328,,y,,,,,,,,,,,
c1,B1_LR.329,,y,,,,,,,,,,,
c1,B1_LR.330,,y,,,,,,,,,,,
c1,B1_LR.331,,y,,,,ad6f7899-502b-4adf-a0e2-a24a5cb1cd2f,,,,,,,
c1,,,y,,y,,,PBsin.250,,,,,,
c1,,,y,,y,,f86a2dd9-7057-4aba-9f92-8523cd384397,,,,,,,
c1,B1_LR.332,,y,,,,,,,,,,,
c1,B1_LR.333,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.334,,y,,,,,,,,,,FORWARD STRAND,
c1,B1_LR.335,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.254.1,,,,,,
c1,B1_LR.336,,y,,,,,,,,,,,
c1,,,y,,,,,PBsin.254.12,,,,,,
c1,,,y,,,,,PBsin.254.7,,,,,,
c1,B1_LR.337,,y,,y,,,,,,,,REVERSE STRAND,
c1,,,y,,y,,,PBsin.259.1,,,,,DELETE,
c1,,,y,,y,,bc5ff20f-5a23-4f55-adee-0d1b36de0096,,,,,,,
c1,B1_LR.338,,y,,y,,,,,,,,,
c1,B1_LR.339,,y,,,,,,,,,,,
c1,B1_LR.340,,y,,y,,,,,,,,,
c1,B1_LR.341,,y,,,,,,,,,,,
c1,B1_LR.342,,y,,,,,,,,,,,
c1,B1_LR.343,,y,,,,,,,,,,,
c1,B1_LR.344,,y,,y,,,,,,,,,
