start	stop	chrom	strand	seqname	num_exons
7414756	7417421	c1	-	Hcv1.av84.c1.g1051.i1	9
7419532	7422942	c1	-	Hcv1.av84.c1.g1052.i1	9
7419532	7422942	c1	-	Hcv1.av84.c1.g1052.i2	8
7423189	7426346	c1	-	Hcv1.av84.c1.g1053.i1	12
7423189	7426346	c1	-	Hcv1.av84.c1.g1053.i2	10
7423189	7426346	c1	-	Hcv1.av84.c1.g1053.i3	11
7426573	7431380	c1	+	Hcv1.av84.c1.g1054.i1	12
7432931	7437463	c1	-	Hcv1.av84.c1.g1055.i1	9
7432931	7437514	c1	-	Hcv1.av84.c1.g1055.i2	8
7438413	7442053	c1	-	Hcv1.av84.c1.g1056.i1	1
7439629	7443179	c1	+	Hcv1.av84.c1.g1057.i1	1
7444056	7446913	c1	+	Hcv1.av84.c1.g1058.i1	6
7446991	7451427	c1	+	Hcv1.av84.c1.g1059.i1	8
920910	930886	c1	-	Hcv1.av84.c1.g106.i1	11
7451988	7484591	c1	-	Hcv1.av84.c1.g1060.i1	22
7451988	7484591	c1	-	Hcv1.av84.c1.g1060.i2	23
7453580	7455030	c1	-	Hcv1.av84.c1.g1061.i1	1
7488047	7493247	c1	+	Hcv1.av84.c1.g1062.i1	7
7493801	7496343	c1	-	Hcv1.av84.c1.g1063.i1	2
7494798	7496502	c1	+	Hcv1.av84.c1.g1064.i1	1
7496568	7498579	c1	+	Hcv1.av84.c1.g1065.i1	2
7499129	7503101	c1	-	Hcv1.av84.c1.g1066.i1	6
7510244	7519478	c1	-	Hcv1.av84.c1.g1067.i1	26
7516878	7521712	c1	-	Hcv1.av84.c1.g1068.i1	15
7521965	7524780	c1	+	Hcv1.av84.c1.g1069.i1	3
7521965	7524780	c1	+	Hcv1.av84.c1.g1069.i2	2
934101	935926	c1	+	Hcv1.av84.c1.g107.i1	5
933055	935925	c1	+	Hcv1.av84.c1.g107.i2	5
7525853	7560937	c1	-	Hcv1.av84.c1.g1070.i1	32
7525853	7560937	c1	-	Hcv1.av84.c1.g1070.i2	33
7532795	7539265	c1	+	Hcv1.av84.c1.g1071.i1	2
7542705	7543829	c1	+	Hcv1.av84.c1.g1072.i1	1
7549393	7551897	c1	+	Hcv1.av84.c1.g1073.i1	2
7565037	7572906	c1	-	Hcv1.av84.c1.g1074.i1	11
7576669	7590773	c1	-	Hcv1.av84.c1.g1075.i1	10
7588098	7590471	c1	-	Hcv1.av84.c1.g1076.i1	1
7590832	7598754	c1	-	Hcv1.av84.c1.g1077.i1	16
7601803	7604425	c1	-	Hcv1.av84.c1.g1078.i1	1
7609892	7629038	c1	-	Hcv1.av84.c1.g1079.i1	11
936493	938089	c1	-	Hcv1.av84.c1.g108.i1	2
7613812	7620650	c1	+	Hcv1.av84.c1.g1080.i1	11
7623490	7624871	c1	+	Hcv1.av84.c1.g1081.i1	1
7629543	7642123	c1	-	Hcv1.av84.c1.g1082.i1	8
7629543	7642123	c1	-	Hcv1.av84.c1.g1082.i2	13
7635950	7642123	c1	-	Hcv1.av84.c1.g1082.i3	10
7633626	7636938	c1	-	Hcv1.av84.c1.g1083.i1	1
7645522	7647216	c1	+	Hcv1.av84.c1.g1084.i1	4
7647274	7648844	c1	+	Hcv1.av84.c1.g1085.i1	1
7649054	7650528	c1	+	Hcv1.av84.c1.g1086.i1	4
7650590	7652594	c1	+	Hcv1.av84.c1.g1087.i1	4
7652655	7654140	c1	+	Hcv1.av84.c1.g1088.i1	1
7654208	7657447	c1	+	Hcv1.av84.c1.g1089.i1	7
938189	942043	c1	-	Hcv1.av84.c1.g109.i1	7
938189	942043	c1	-	Hcv1.av84.c1.g109.i2	6
7658191	7664173	c1	-	Hcv1.av84.c1.g1090.i1	5
7658683	7664173	c1	-	Hcv1.av84.c1.g1090.i2	5
7681488	7682347	c1	+	Hcv1.av84.c1.g1091.i1	1
7682447	7689736	c1	+	Hcv1.av84.c1.g1092.i1	16
7690676	7692290	c1	+	Hcv1.av84.c1.g1093.i1	1
7692167	7698058	c1	-	Hcv1.av84.c1.g1094.i1	4
7695372	7696335	c1	+	Hcv1.av84.c1.g1095.i1	1
7698249	7700461	c1	-	Hcv1.av84.c1.g1096.i1	2
7700564	7701307	c1	-	Hcv1.av84.c1.g1097.i1	1
7701433	7702009	c1	-	Hcv1.av84.c1.g1098.i1	1
7702087	7703648	c1	-	Hcv1.av84.c1.g1099.i1	1
70963	78309	c1	-	Hcv1.av84.c1.g11.i1	7
70963	78309	c1	-	Hcv1.av84.c1.g11.i2	8
70963	78309	c1	-	Hcv1.av84.c1.g11.i3	8
70963	78309	c1	-	Hcv1.av84.c1.g11.i4	9
950750	952725	c1	-	Hcv1.av84.c1.g110.i1	6
7704126	7705801	c1	-	Hcv1.av84.c1.g1100.i1	1
7705887	7714482	c1	-	Hcv1.av84.c1.g1101.i1	8
7705887	7714482	c1	-	Hcv1.av84.c1.g1101.i2	9
7705887	7710519	c1	-	Hcv1.av84.c1.g1102.i1	6
7710649	7714466	c1	-	Hcv1.av84.c1.g1103.i1	3
7714927	7726772	c1	-	Hcv1.av84.c1.g1104.i1	12
7714927	7726772	c1	-	Hcv1.av84.c1.g1104.i2	13
7721158	7726772	c1	-	Hcv1.av84.c1.g1104.i3	10
7728554	7731384	c1	+	Hcv1.av84.c1.g1105.i1	1
7643114	7731383	c1	+	Hcv1.av84.c1.g1106.i1	3
7732327	7735190	c1	+	Hcv1.av84.c1.g1107.i1	9
7735241	7752415	c1	-	Hcv1.av84.c1.g1108.i1	35
7754708	7756091	c1	+	Hcv1.av84.c1.g1109.i1	1
955862	961165	c1	+	Hcv1.av84.c1.g111.i1	10
7754708	7799167	c1	-	Hcv1.av84.c1.g1110.i1	25
7754708	7799167	c1	-	Hcv1.av84.c1.g1110.i2	24
7778177	7788517	c1	+	Hcv1.av84.c1.g1111.i1	10
7778177	7787112	c1	+	Hcv1.av84.c1.g1111.i2	7
7800045	7805841	c1	-	Hcv1.av84.c1.g1112.i1	10
7808204	7810440	c1	+	Hcv1.av84.c1.g1113.i1	4
7810592	7812970	c1	-	Hcv1.av84.c1.g1114.i1	7
7813017	7814420	c1	-	Hcv1.av84.c1.g1115.i1	4
7818222	7822756	c1	+	Hcv1.av84.c1.g1116.i1	6
7820773	7823208	c1	-	Hcv1.av84.c1.g1117.i1	2
7824103	7840763	c1	-	Hcv1.av84.c1.g1118.i1	13
7842217	7845295	c1	+	Hcv1.av84.c1.g1119.i1	4
961413	966107	c1	-	Hcv1.av84.c1.g112.i1	5
7845449	7852377	c1	+	Hcv1.av84.c1.g1120.i1	13
7852444	7864210	c1	-	Hcv1.av84.c1.g1121.i1	14
7864397	7865752	c1	-	Hcv1.av84.c1.g1122.i1	3
7865820	7866572	c1	-	Hcv1.av84.c1.g1123.i1	1
7869977	7874733	c1	-	Hcv1.av84.c1.g1124.i1	6
7880180	7883722	c1	-	Hcv1.av84.c1.g1125.i1	6
7883791	7887761	c1	-	Hcv1.av84.c1.g1126.i1	4
7887901	7890371	c1	-	Hcv1.av84.c1.g1127.i1	1
7892984	7893890	c1	+	Hcv1.av84.c1.g1128.i1	3
7897820	7900649	c1	+	Hcv1.av84.c1.g1129.i1	2
966165	967900	c1	-	Hcv1.av84.c1.g113.i1	1
7900989	7903557	c1	+	Hcv1.av84.c1.g1130.i1	1
7902619	7904467	c1	-	Hcv1.av84.c1.g1131.i1	2
7905709	7906992	c1	+	Hcv1.av84.c1.g1132.i1	2
7909312	7913065	c1	-	Hcv1.av84.c1.g1133.i1	1
7927780	7938220	c1	-	Hcv1.av84.c1.g1134.i1	12
7939210	7943266	c1	+	Hcv1.av84.c1.g1135.i1	6
7943800	7948852	c1	-	Hcv1.av84.c1.g1136.i1	6
7950397	7954908	c1	+	Hcv1.av84.c1.g1137.i1	7
7954933	7959000	c1	-	Hcv1.av84.c1.g1138.i1	10
7954933	7959000	c1	-	Hcv1.av84.c1.g1138.i2	9
7961860	7973016	c1	+	Hcv1.av84.c1.g1139.i1	6
7961860	7964998	c1	+	Hcv1.av84.c1.g1139.i2	2
970298	975138	c1	+	Hcv1.av84.c1.g114.i1	8
7973618	7975379	c1	+	Hcv1.av84.c1.g1140.i1	3
7974669	7975605	c1	-	Hcv1.av84.c1.g1141.i1	2
7975816	7981049	c1	-	Hcv1.av84.c1.g1142.i1	2
7981113	7981547	c1	-	Hcv1.av84.c1.g1143.i1	2
7983014	7986136	c1	-	Hcv1.av84.c1.g1144.i1	7
7986511	7992156	c1	-	Hcv1.av84.c1.g1145.i1	3
7992250	7993417	c1	-	Hcv1.av84.c1.g1146.i1	1
7993647	8011720	c1	-	Hcv1.av84.c1.g1147.i1	16
8011773	8012545	c1	-	Hcv1.av84.c1.g1148.i1	1
8013544	8023879	c1	+	Hcv1.av84.c1.g1149.i1	17
8013544	8023879	c1	+	Hcv1.av84.c1.g1149.i2	16
975926	977794	c1	+	Hcv1.av84.c1.g115.i1	5
8024134	8029559	c1	-	Hcv1.av84.c1.g1150.i1	7
8030000	8033283	c1	-	Hcv1.av84.c1.g1151.i1	4
8035423	8038961	c1	+	Hcv1.av84.c1.g1152.i1	1
8039853	8040939	c1	+	Hcv1.av84.c1.g1153.i1	1
8041037	8047205	c1	+	Hcv1.av84.c1.g1154.i1	9
8050771	8056511	c1	+	Hcv1.av84.c1.g1155.i1	13
8058677	8062301	c1	-	Hcv1.av84.c1.g1156.i1	7
8063652	8091898	c1	-	Hcv1.av84.c1.g1157.i1	8
8081938	8085679	c1	+	Hcv1.av84.c1.g1158.i1	5
8094215	8103909	c1	+	Hcv1.av84.c1.g1159.i1	6
8094215	8103909	c1	+	Hcv1.av84.c1.g1159.i2	5
977863	978976	c1	+	Hcv1.av84.c1.g116.i1	5
8104114	8113009	c1	-	Hcv1.av84.c1.g1160.i1	13
8118442	8121880	c1	+	Hcv1.av84.c1.g1161.i1	1
8123499	8137844	c1	+	Hcv1.av84.c1.g1162.i1	9
8143310	8168681	c1	+	Hcv1.av84.c1.g1163.i1	9
8143310	8168681	c1	+	Hcv1.av84.c1.g1163.i2	10
8143310	8168681	c1	+	Hcv1.av84.c1.g1163.i3	10
8143310	8168681	c1	+	Hcv1.av84.c1.g1163.i4	9
8143310	8168681	c1	+	Hcv1.av84.c1.g1163.i5	13
8169476	8170262	c1	-	Hcv1.av84.c1.g1164.i1	2
8171401	8181418	c1	-	Hcv1.av84.c1.g1165.i1	14
8171401	8181418	c1	-	Hcv1.av84.c1.g1165.i2	15
8171401	8181418	c1	-	Hcv1.av84.c1.g1165.i3	15
8171401	8181418	c1	-	Hcv1.av84.c1.g1165.i4	15
8186400	8197048	c1	+	Hcv1.av84.c1.g1166.i1	23
8186400	8197048	c1	+	Hcv1.av84.c1.g1166.i2	22
8197945	8201401	c1	+	Hcv1.av84.c1.g1167.i1	5
8197945	8201401	c1	+	Hcv1.av84.c1.g1167.i2	7
8197945	8201401	c1	+	Hcv1.av84.c1.g1167.i3	9
8203552	8212195	c1	+	Hcv1.av84.c1.g1168.i1	5
8213906	8216134	c1	+	Hcv1.av84.c1.g1169.i1	2
980138	982697	c1	+	Hcv1.av84.c1.g117.i1	1
8216222	8218796	c1	+	Hcv1.av84.c1.g1170.i1	1
8220709	8224156	c1	+	Hcv1.av84.c1.g1171.i1	5
8220709	8224156	c1	+	Hcv1.av84.c1.g1171.i2	4
8224268	8293102	c1	+	Hcv1.av84.c1.g1172.i1	7
8224513	8235053	c1	-	Hcv1.av84.c1.g1173.i1	16
8224513	8233065	c1	-	Hcv1.av84.c1.g1173.i2	17
8224513	8233065	c1	-	Hcv1.av84.c1.g1173.i3	16
8224513	8246927	c1	-	Hcv1.av84.c1.g1173.i4	17
8224709	8242452	c1	-	Hcv1.av84.c1.g1173.i5	21
8225037	8242452	c1	-	Hcv1.av84.c1.g1173.i6	20
8252516	8262435	c1	-	Hcv1.av84.c1.g1174.i1	9
8264979	8268470	c1	-	Hcv1.av84.c1.g1175.i1	4
8264979	8268993	c1	-	Hcv1.av84.c1.g1175.i2	5
8270245	8274842	c1	-	Hcv1.av84.c1.g1176.i1	7
8287610	8292334	c1	-	Hcv1.av84.c1.g1177.i1	1
8294874	8298962	c1	+	Hcv1.av84.c1.g1178.i1	2
8299026	8300834	c1	+	Hcv1.av84.c1.g1179.i1	6
8299026	8300834	c1	+	Hcv1.av84.c1.g1179.i2	7
983672	985738	c1	-	Hcv1.av84.c1.g118.i1	6
8301292	8307389	c1	-	Hcv1.av84.c1.g1180.i1	9
8301292	8307389	c1	-	Hcv1.av84.c1.g1180.i2	8
8312695	8361632	c1	-	Hcv1.av84.c1.g1181.i1	5
8350459	8361632	c1	-	Hcv1.av84.c1.g1181.i2	7
8319088	8321369	c1	+	Hcv1.av84.c1.g1182.i1	2
8321328	8325341	c1	+	Hcv1.av84.c1.g1183.i1	12
8332400	8336606	c1	-	Hcv1.av84.c1.g1184.i1	1
8337030	8338112	c1	-	Hcv1.av84.c1.g1185.i1	1
8338247	8340873	c1	-	Hcv1.av84.c1.g1186.i1	1
8345397	8349898	c1	+	Hcv1.av84.c1.g1187.i1	9
8357800	8360162	c1	+	Hcv1.av84.c1.g1188.i1	1
8361994	8366485	c1	+	Hcv1.av84.c1.g1189.i1	6
986253	987649	c1	-	Hcv1.av84.c1.g119.i1	4
8369358	8375421	c1	-	Hcv1.av84.c1.g1190.i1	13
8375552	8379127	c1	-	Hcv1.av84.c1.g1191.i1	4
8383297	8388432	c1	-	Hcv1.av84.c1.g1192.i1	5
8388615	8391377	c1	-	Hcv1.av84.c1.g1193.i1	2
8394166	8398831	c1	-	Hcv1.av84.c1.g1194.i1	6
8405385	8406146	c1	-	Hcv1.av84.c1.g1195.i1	2
8408235	8410057	c1	-	Hcv1.av84.c1.g1196.i1	1
8415898	8424639	c1	-	Hcv1.av84.c1.g1197.i1	9
8415898	8421874	c1	-	Hcv1.av84.c1.g1197.i2	9
8419034	8420119	c1	+	Hcv1.av84.c1.g1198.i1	2
8428492	8436945	c1	+	Hcv1.av84.c1.g1199.i1	22
8428492	8436945	c1	+	Hcv1.av84.c1.g1199.i2	21
78426	80350	c1	-	Hcv1.av84.c1.g12.i1	1
987982	993983	c1	-	Hcv1.av84.c1.g120.i1	4
8439581	8444601	c1	-	Hcv1.av84.c1.g1200.i1	1
8448381	8451568	c1	+	Hcv1.av84.c1.g1201.i1	3
8451040	8457028	c1	-	Hcv1.av84.c1.g1202.i1	13
8451040	8457028	c1	-	Hcv1.av84.c1.g1202.i2	12
8462590	8464996	c1	+	Hcv1.av84.c1.g1203.i1	4
8465894	8470080	c1	+	Hcv1.av84.c1.g1204.i1	7
8465894	8470080	c1	+	Hcv1.av84.c1.g1204.i2	6
8465894	8470080	c1	+	Hcv1.av84.c1.g1204.i3	5
8465894	8470080	c1	+	Hcv1.av84.c1.g1204.i4	7
8465894	8470080	c1	+	Hcv1.av84.c1.g1204.i5	6
8470534	8472794	c1	-	Hcv1.av84.c1.g1205.i1	7
8470534	8472794	c1	-	Hcv1.av84.c1.g1205.i2	7
8470534	8472794	c1	-	Hcv1.av84.c1.g1205.i3	6
8481846	8483598	c1	+	Hcv1.av84.c1.g1206.i1	1
8483614	8488400	c1	-	Hcv1.av84.c1.g1207.i1	5
8489817	8490789	c1	+	Hcv1.av84.c1.g1208.i1	1
8490967	8491960	c1	+	Hcv1.av84.c1.g1209.i1	1
994432	997522	c1	+	Hcv1.av84.c1.g121.i1	1
8492057	8492535	c1	+	Hcv1.av84.c1.g1210.i1	1
8492795	8497854	c1	+	Hcv1.av84.c1.g1211.i1	11
8492795	8497854	c1	+	Hcv1.av84.c1.g1211.i2	9
8498511	8502623	c1	+	Hcv1.av84.c1.g1212.i1	8
8502485	8504275	c1	-	Hcv1.av84.c1.g1213.i1	1
8507878	8511029	c1	+	Hcv1.av84.c1.g1214.i1	2
8514351	8518377	c1	-	Hcv1.av84.c1.g1215.i1	9
8518466	8534200	c1	-	Hcv1.av84.c1.g1216.i1	14
8523316	8534368	c1	+	Hcv1.av84.c1.g1217.i1	8
8526175	8528116	c1	-	Hcv1.av84.c1.g1218.i1	4
8536291	8546080	c1	-	Hcv1.av84.c1.g1219.i1	12
8536291	8542479	c1	-	Hcv1.av84.c1.g1219.i2	8
8536291	8546080	c1	-	Hcv1.av84.c1.g1219.i3	13
1000139	1003329	c1	-	Hcv1.av84.c1.g122.i1	10
1000139	1003329	c1	-	Hcv1.av84.c1.g122.i2	10
1000139	1003329	c1	-	Hcv1.av84.c1.g122.i3	9
8538848	8540335	c1	+	Hcv1.av84.c1.g1220.i1	4
8539114	8540335	c1	+	Hcv1.av84.c1.g1220.i2	3
8552155	8566526	c1	+	Hcv1.av84.c1.g1221.i1	24
8552155	8566526	c1	+	Hcv1.av84.c1.g1221.i2	25
8552155	8564287	c1	+	Hcv1.av84.c1.g1221.i3	22
8552155	8566526	c1	+	Hcv1.av84.c1.g1221.i4	25
8569738	8571675	c1	-	Hcv1.av84.c1.g1222.i1	1
8572002	8575614	c1	+	Hcv1.av84.c1.g1223.i1	15
8575846	8577672	c1	+	Hcv1.av84.c1.g1224.i1	2
8575884	8578191	c1	-	Hcv1.av84.c1.g1225.i1	4
8578558	8581144	c1	-	Hcv1.av84.c1.g1226.i1	3
8581212	8605889	c1	-	Hcv1.av84.c1.g1227.i1	3
8581212	8593849	c1	-	Hcv1.av84.c1.g1227.i2	7
8587726	8589099	c1	-	Hcv1.av84.c1.g1228.i1	1
8597346	8598320	c1	-	Hcv1.av84.c1.g1229.i1	2
1008338	1010253	c1	-	Hcv1.av84.c1.g123.i1	1
8598900	8601814	c1	-	Hcv1.av84.c1.g1230.i1	2
8608411	8614555	c1	+	Hcv1.av84.c1.g1231.i1	11
8614545	8616177	c1	-	Hcv1.av84.c1.g1232.i1	1
8616883	8621705	c1	+	Hcv1.av84.c1.g1233.i1	10
8621980	8638668	c1	-	Hcv1.av84.c1.g1234.i1	8
8621980	8632180	c1	-	Hcv1.av84.c1.g1234.i2	8
8621980	8638668	c1	-	Hcv1.av84.c1.g1234.i3	8
8650207	8657745	c1	+	Hcv1.av84.c1.g1235.i1	11
8657624	8659690	c1	-	Hcv1.av84.c1.g1236.i1	2
8663897	8671497	c1	-	Hcv1.av84.c1.g1237.i1	4
8672515	8676470	c1	-	Hcv1.av84.c1.g1238.i1	3
8697306	8698648	c1	+	Hcv1.av84.c1.g1239.i1	1
1019440	1025058	c1	+	Hcv1.av84.c1.g124.i1	3
8689557	8706238	c1	-	Hcv1.av84.c1.g1240.i1	27
8689557	8706238	c1	-	Hcv1.av84.c1.g1240.i2	26
8708182	8709945	c1	+	Hcv1.av84.c1.g1241.i1	1
8710013	8720151	c1	+	Hcv1.av84.c1.g1242.i1	20
8715265	8735076	c1	-	Hcv1.av84.c1.g1243.i1	3
8725224	8733976	c1	+	Hcv1.av84.c1.g1244.i1	8
8735485	8763370	c1	+	Hcv1.av84.c1.g1245.i1	41
8743349	8744450	c1	-	Hcv1.av84.c1.g1246.i1	4
8765260	8782410	c1	+	Hcv1.av84.c1.g1247.i1	38
8765765	8782410	c1	+	Hcv1.av84.c1.g1247.i2	38
8773833	8774143	c1	-	Hcv1.av84.c1.g1248.i1	1
8783228	8785206	c1	-	Hcv1.av84.c1.g1249.i1	4
1025857	1031798	c1	-	Hcv1.av84.c1.g125.i1	12
8788476	8790608	c1	-	Hcv1.av84.c1.g1250.i1	1
8793192	8797887	c1	+	Hcv1.av84.c1.g1251.i1	4
9157089	9171495	c1	-	Hcv1.av84.c1.g1252.i1	10
8801153	8802964	c1	-	Hcv1.av84.c1.g1253.i1	1
8803300	8804315	c1	-	Hcv1.av84.c1.g1254.i1	1
8804946	8819908	c1	-	Hcv1.av84.c1.g1255.i1	12
8819990	8821206	c1	-	Hcv1.av84.c1.g1256.i1	1
8821456	8835499	c1	-	Hcv1.av84.c1.g1257.i1	15
8836196	8846532	c1	+	Hcv1.av84.c1.g1258.i1	17
8836196	8846537	c1	+	Hcv1.av84.c1.g1258.i2	16
8838546	8841474	c1	-	Hcv1.av84.c1.g1259.i1	1
1035271	1040044	c1	+	Hcv1.av84.c1.g126.i1	11
8846593	8847946	c1	-	Hcv1.av84.c1.g1260.i1	3
8848052	8853001	c1	-	Hcv1.av84.c1.g1261.i1	6
8853024	8854011	c1	-	Hcv1.av84.c1.g1262.i1	2
8853995	8855439	c1	-	Hcv1.av84.c1.g1263.i1	5
8859760	8886196	c1	+	Hcv1.av84.c1.g1264.i1	22
8859760	8886196	c1	+	Hcv1.av84.c1.g1264.i2	22
8859760	8886196	c1	+	Hcv1.av84.c1.g1264.i3	22
8863416	8864562	c1	-	Hcv1.av84.c1.g1265.i1	3
8886849	8888225	c1	+	Hcv1.av84.c1.g1266.i1	2
8887536	8887950	c1	-	Hcv1.av84.c1.g1267.i1	1
8894667	8902301	c1	+	Hcv1.av84.c1.g1268.i1	3
8902393	8906472	c1	+	Hcv1.av84.c1.g1269.i1	7
8902393	8906472	c1	+	Hcv1.av84.c1.g1269.i2	8
8902393	8906472	c1	+	Hcv1.av84.c1.g1269.i3	8
1041179	1048191	c1	+	Hcv1.av84.c1.g127.i1	9
8906560	8908393	c1	+	Hcv1.av84.c1.g1270.i1	3
8906560	8908393	c1	+	Hcv1.av84.c1.g1270.i2	4
8906560	8908393	c1	+	Hcv1.av84.c1.g1270.i3	2
8912329	8913331	c1	-	Hcv1.av84.c1.g1271.i1	2
8915271	8921645	c1	-	Hcv1.av84.c1.g1272.i1	12
8915271	8921645	c1	-	Hcv1.av84.c1.g1272.i2	10
8917445	8918769	c1	-	Hcv1.av84.c1.g1273.i1	1
8922051	8925353	c1	-	Hcv1.av84.c1.g1274.i1	8
8928321	8930165	c1	-	Hcv1.av84.c1.g1275.i1	1
8930150	8931955	c1	-	Hcv1.av84.c1.g1276.i1	1
8932031	8936576	c1	-	Hcv1.av84.c1.g1277.i1	9
8940545	8943918	c1	-	Hcv1.av84.c1.g1278.i1	7
8943988	8947487	c1	-	Hcv1.av84.c1.g1279.i1	4
1044225	1046666	c1	+	Hcv1.av84.c1.g128.i1	2
1044225	1046666	c1	+	Hcv1.av84.c1.g128.i2	3
1044225	1046666	c1	+	Hcv1.av84.c1.g128.i3	3
8947547	8948873	c1	-	Hcv1.av84.c1.g1280.i1	1
8948931	8950619	c1	-	Hcv1.av84.c1.g1281.i1	1
8951634	8957478	c1	-	Hcv1.av84.c1.g1282.i1	8
8957537	8958971	c1	-	Hcv1.av84.c1.g1283.i1	1
8957537	8967935	c1	-	Hcv1.av84.c1.g1283.i2	5
8492796	8497852	c1	+	Hcv1.av84.c1.g1284.i1	7
8968164	8969873	c1	+	Hcv1.av84.c1.g1285.i1	5
8969936	8972224	c1	+	Hcv1.av84.c1.g1286.i1	6
